id,title,description,availability,condition,price,link,image_link,brand,google_product_category,size
CKR-CON-001,Jumpsuit lino topo,Jumpsuit lino topo. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Jumpsuit%20lino%20topo%20%24380.000,https://lh3.googleusercontent.com/d/1BYBBY-o-shG8Dqatr10Wh-Wc04rzKuvF,CKR Boutique,2271,Unica
CKR-CON-002,Conjunto verde olivo,Conjunto verde olivo. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Conjunto%20verde%20olivo%20%24320.000,https://lh3.googleusercontent.com/d/1l4h-XN_5YczjKwjnLZXbE_VqVvskrl92,CKR Boutique,2271,S
CKR-CON-003,Conjunto blanco en lino pintado,Conjunto blanco en lino pintado. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Conjunto%20blanco%20en%20lino%20pintado%20%24380.000,https://lh3.googleusercontent.com/d/1M1aDdinCPaZqqnap6556RQyZpyd89S1K,CKR Boutique,2271,S
CKR-CON-004,Conjunto azul floral,Conjunto azul floral. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Conjunto%20azul%20floral%20%24320.000,https://lh3.googleusercontent.com/d/1zTZbPx414sUAhbyYNP-3CYmXVukuoX5h,CKR Boutique,2271,S
CKR-CON-005,Conjunto de pantalon y top en lino palo de rosa,Conjunto de pantalon y top en lino palo de rosa. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,260000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Conjunto%20lino%20palo%20de%20rosa%20%24260.000,https://lh3.googleusercontent.com/d/1KYMmOqBRdk3cTzAjAVwqo1Yk4oMGchih,CKR Boutique,2271,M
CKR-CON-006,Jumpsuit rojo elegante,Jumpsuit rojo elegante. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,280000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Jumpsuit%20rojo%20elegante%20%24280.000,https://lh3.googleusercontent.com/d/1BaZEV0b1RMOKU1-0LV6ed8fQYkypj3e-,CKR Boutique,2271,8
CKR-CON-007,Conjunto fucsia off-shoulder,Conjunto fucsia off-shoulder. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Conjunto%20fucsia%20off-shoulder%20%24320.000,https://lh3.googleusercontent.com/d/1ArVPwiileOO-wQeP5_TIg4WqgaLSDwp4,CKR Boutique,2271,S
CKR-VES-001,Vestido maxi floral beige,Vestido maxi floral beige. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20maxi%20floral%20beige%20%24320.000,https://lh3.googleusercontent.com/d/1Db8qwrvKUj6tfjMZih2w7QRj5BfXybbp,CKR Boutique,2271,S
CKR-VES-002,Vestido Corto en Encaje Azul,Vestido Corto en Encaje Azul. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Corto%20Encaje%20Azul%20%24380.000,https://drive.google.com/uc?export=view&id=1_GjHSYnzBfbA00YTWODvQAWKsyDW5FHQ,CKR Boutique,2271,L
CKR-VES-003,Vestido largo en Tafeta Rosa,Vestido largo en Tafeta Rosa. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20largo%20Tafeta%20Rosa%20%24380.000,https://lh3.googleusercontent.com/d/15-TPPPibPaUImZgzJun0kXjJYTcgnExZ,CKR Boutique,2271,S
CKR-VES-004,Vestido en encaje corto Blanco,Vestido en encaje corto Blanco. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20encaje%20corto%20Blanco%20%24320.000,https://lh3.googleusercontent.com/d/1TG5GPHOR_bQ8rcDfJtTYnNbaWPS8A4Iu,CKR Boutique,2271,M
CKR-VES-005,Vestido Burdeo fluido,Vestido Burdeo fluido. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,380000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Burdeo%20fluido%20%24380.000,https://lh3.googleusercontent.com/d/19FIZk4PcRoXaCnMwXIrJX_Ixxmd2iNZx,CKR Boutique,2271,UNICA
CKR-VES-006,Vestido Negro en Encaje Corto,Vestido Negro en Encaje Corto. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,320000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Negro%20Encaje%20Corto%20%24320.000,https://lh3.googleusercontent.com/d/1oHAe9Hw6srIH5BLwA16cCoGtlVxN9rPN,CKR Boutique,2271,S
CKR-VES-007,Vestido Negro Alto Relieve,Vestido Negro Alto Relieve. Moda femenina premium CKR Boutique 2026. Envíos a todo Colombia.,in stock,new,280000 COP,https://wa.me/573017604292?text=Hola%2C%20quiero%20el%20Vestido%20Negro%20Alto%20Relieve%20%24280.000,https://drive.google.com/uc?export=view&id=1s8RxbfmGTecR40eoF1RJ5FszVdP4_8XB,CKR Boutique,2271,UNICA
